station,year,month,longitude,latitude,depth,replicate
LK,2015,apr,-81.413,24.538,SUR,A
LK,2015,apr,-81.413,24.538,SUR,B
LK,2015,apr,-81.413,24.538,SUR,C
LK,2015,apr,-81.413,24.538,BOT,A
LK,2015,apr,-81.413,24.538,BOT,B
LK,2015,apr,-81.413,24.538,BOT,C
WS,2015,apr,-81.717,24.478,SUR,A
WS,2015,apr,-81.717,24.478,SUR,B
WS,2015,apr,-81.717,24.478,SUR,C
WS,2015,apr,-81.717,24.478,BOT,A
WS,2015,apr,-81.717,24.478,BOT,B
WS,2015,apr,-81.717,24.478,BOT,C
30,2015,apr,-82.210,25.402,SUR,A
30,2015,apr,-82.210,25.402,SUR,B
30,2015,apr,-82.210,25.402,SUR,C
30,2015,apr,-82.210,25.402,BOT,A
30,2015,apr,-82.210,25.402,BOT,B
30,2015,apr,-82.210,25.402,BOT,C
41,2015,apr,-81.575,25.733,SUR,A
41,2015,apr,-81.575,25.733,SUR,B
41,2015,apr,-81.575,25.733,SUR,C
48,2015,apr,-81.330,25.583,SUR,A
48,2015,apr,-81.330,25.583,SUR,B
48,2015,apr,-81.330,25.583,SUR,C
54,2015,apr,-81.153,25.345,SUR,A
54,2015,apr,-81.153,25.345,SUR,B
54,2015,apr,-81.153,25.345,SUR,C
57,2015,apr,-81.265,25.352,SUR,A
57,2015,apr,-81.265,25.352,SUR,B
57,2015,apr,-81.265,25.352,SUR,C
57.2,2015,apr,-81.490,25.352,SUR,A
57.2,2015,apr,-81.490,25.352,SUR,B
57.2,2015,apr,-81.490,25.352,SUR,C
65,2015,apr,-81.093,25.102,SUR,A
65,2015,apr,-81.093,25.102,SUR,B
65,2015,apr,-81.093,25.102,SUR,C
MR,2015,jun,-80.380,25.010,SUR,A
MR,2015,jun,-80.380,25.010,SUR,B
MR,2015,jun,-80.380,25.010,SUR,C
MR,2015,jun,-80.380,25.010,BOT,A
MR,2015,jun,-80.380,25.010,BOT,B
MR,2015,jun,-80.380,25.010,BOT,C
LK,2015,jun,-81.413,24.538,SUR,A
LK,2015,jun,-81.413,24.538,SUR,B
LK,2015,jun,-81.413,24.538,SUR,C
LK,2015,jun,-81.413,24.538,BOT,A
LK,2015,jun,-81.413,24.538,BOT,B
LK,2015,jun,-81.413,24.538,BOT,C
WS,2015,jun,-81.717,24.478,BOT,A
WS,2015,jun,-81.717,24.478,BOT,B
WS,2015,jun,-81.717,24.478,BOT,C
WS,2015,jun,-81.717,24.478,BOT,A
WS,2015,jun,-81.717,24.478,BOT,B
WS,2015,jun,-81.717,24.478,BOT,C
30,2015,jun,-82.210,25.402,SUR,A
30,2015,jun,-82.210,25.402,SUR,B
30,2015,jun,-82.210,25.402,SUR,C
30,2015,jun,-82.210,25.402,BOT,A
30,2015,jun,-82.210,25.402,BOT,B
30,2015,jun,-82.210,25.402,BOT,C
41,2015,jun,-81.575,25.733,SUR,A
41,2015,jun,-81.575,25.733,SUR,B
41,2015,jun,-81.575,25.733,SUR,C
48,2015,jun,-81.330,25.583,SUR,A
48,2015,jun,-81.330,25.583,SUR,B
48,2015,jun,-81.330,25.583,SUR,C
54,2015,jun,-81.153,25.345,SUR,A
54,2015,jun,-81.153,25.345,SUR,B
54,2015,jun,-81.153,25.345,SUR,C
57,2015,jun,-81.265,25.352,SUR,A
57,2015,jun,-81.265,25.352,SUR,B
57,2015,jun,-81.265,25.352,SUR,C
57.2,2015,jun,-81.490,25.352,SUR,A
57.2,2015,jun,-81.490,25.352,SUR,B
57.2,2015,jun,-81.490,25.352,SUR,C
65,2015,jun,-81.093,25.102,SUR,A
65,2015,jun,-81.093,25.102,SUR,B
65,2015,jun,-81.093,25.102,SUR,C
MR,2015,sep,-80.380,25.010,SUR,A
MR,2015,sep,-80.380,25.010,SUR,B
MR,2015,sep,-80.380,25.010,SUR,C
MR,2015,sep,-80.380,25.010,BOT,A
MR,2015,sep,-80.380,25.010,BOT,B
MR,2015,sep,-80.380,25.010,BOT,C
LK,2015,sep,-81.413,24.538,SUR,A
LK,2015,sep,-81.413,24.538,SUR,B
LK,2015,sep,-81.413,24.538,SUR,C
LK,2015,sep,-81.413,24.538,BOT,A
LK,2015,sep,-81.413,24.538,BOT,B
LK,2015,sep,-81.413,24.538,BOT,C
WS,2015,sep,-81.717,24.478,BOT,A
WS,2015,sep,-81.717,24.478,BOT,B
WS,2015,sep,-81.717,24.478,BOT,C
30,2015,sep,-82.210,25.402,SUR,A
30,2015,sep,-82.210,25.402,SUR,B
30,2015,sep,-82.210,25.402,SUR,C
30,2015,sep,-82.210,25.402,BOT,A
30,2015,sep,-82.210,25.402,BOT,B
30,2015,sep,-82.210,25.402,BOT,C
