sample ID,Filter ID,Location,station,longitude,latitude,Date,Depth (S/B),CaCO3 (mg/L),Scale-Normalized Blank-corrected d15N (AT-Air),Scale-Normalized Blank-corrected d13C (VPDB),N (mg/L),C (mg/L),C:N molar,Si (µmol/L),NO2 (µmol/L),NO3 (µmol/L),NO2+NO3 (µmol/L),NH4 (µmol/L),PO4 (µmol/L),DIN (µmol/L),Chl-a volume filtered (L),Chl-a lab (ug/L),Pheophytin (ug/L),Sample Depth (m),Temp (C),Salinity,DO (%),DO (mg/L),Chl-a (RFU),Chl-a (ug/L),pH
1,1,Inshore,BB14,-80.1586,25.8301,11/22/21,S,2.72,NA,NA,NA,NA,NA,22.444,0.174,1.302,1.476,4.146,0.1,5.622,0.15,1.51,1.27,0.241,24.6,33.04,94.7,6.53,0.14,1.27,8.27
2,2,Inshore,BB14,-80.1586,25.8301,11/22/21,B,5.25,4.59,-22.2,0.022,0.153,8.09,19.184,0.167,1.099,1.266,4.108,0.08,5.374,0.15,1.58,1.39,0.48,24.652,33.08,94.3,6.5,0.32,1.29,8.14
3,3,Inshore,BB17,-80.166,25.8027,11/22/21,S,6.61,6.1,-22.71,0.027,0.188,8.11,12.904,0.137,0.737,0.874,2.218,0.032,3.092,0.15,1.44,1.15,0.4,24.631,34.04,98.1,6.71,0.26,1.1,8.34
4,4,Inshore,BB17,-80.166,25.8027,11/22/21,B,7.36,5.25,-20.89,0.027,0.213,9.15,17.024,0.172,1.306,1.478,4.868,0.085,6.346,0.15,1.93,1.33,1.98,24.766,34.87,97.7,6.65,0.19,0.86,8.36
5,5,Inshore,BB18,-80.1636,25.787,11/22/21,S,6.82,5.64,-23.06,0.018,0.157,10.13,9.264,0.103,0.517,0.62,1.212,0.017,1.832,0.15,1.67,1.22,0.41,24.714,34.68,98.1,6.7,0.22,0.95,8.35
6,6,Inshore,BB18,-80.1636,25.787,11/22/21,B,1.07,3.04,-22.63,0.032,0.18,6.61,21.792,0.22,1.929,2.149,7.003,0.12,9.152,0.15,1.56,0.95,2.57,24.77,35.69,95.2,6.44,0.2,0.84,8.34
7,7,Inshore,BB22,-80.1743,25.7563,11/22/21,S,7.6,5.51,-21.09,0.027,0.212,9.31,4.064,0.117,0.648,0.765,1.354,0.036,2.119,0.15,2.35,1.42,0.36,25.607,38.01,101.6,6.64,0.23,1.03,8.4
8,8,Inshore,BB22,-80.1743,25.7563,11/22/21,B,9,6.43,-22.82,0.024,0.174,8.64,20.547,0.237,2.087,2.324,7.035,0.12,9.359,0.15,2.93,1.94,2.49,25.534,39.57,103.7,6.76,0.28,1.23,8.39
9,9,Inshore,BB24,-80.1406,25.7666,11/22/21,S,8.82,NA,NA,NA,NA,NA,7.257,0.144,1.058,1.202,3.032,0.057,4.234,0.15,3.58,2.02,0.49,25.566,41.25,96.2,6.22,0.38,1.51,8.44
10,10,Inshore,BB24,-80.1406,25.7666,11/22/21,B,8.45,4.62,-22.04,0.023,0.188,9.59,2.087,0.12,0.777,0.897,1.13,0.019,2.027,0.15,3.42,2.1,15.91,25.603,41.18,93.7,6.07,0.38,1.62,8.44
11,11,Inshore,BB25,-80.1451,25.7593,11/22/21,S,9.9,6.64,-23.45,0.024,0.188,9.12,5.077,0.135,1.014,1.149,1.499,0.025,2.648,0.15,2.27,1.3,0.35,25.424,39.57,97,6.35,0.22,0.96,8.4
